bus,total_rides
1114917,1785432
1050936,1785024
1098849,1784879
1050188,1784750
991316,1784461
1049305,1784428
1052160,1784310
986527,1784078
1009476,1784069
1011416,1783761
1034585,1783203
1087613,1782926
977698,1782880
956165,1782785
1053439,1782767
974269,1782536
1057440,1782535
951547,1782419
867529,1782297
1033503,1782217
1050018,1782081
1049114,1781942
1030218,1781743
1030407,1781692
1033513,1781493
942933,1781428
960602,1781366
1099218,1780977
1034924,1780938
1030518,1780935
1028782,1780917
1028698,1780886
1118495,1780464
1022360,1780428
1077269,1780278
1036368,1780209
1058688,1779964
1044807,1779760
1093064,1779700
1027027,1779680
927771,1779285
1110816,1778873
949675,1778763
1091710,1778687
1051929,1778288
982549,1778060
942518,1777921
1104182,1777824
1090758,1777730
959209,1777604
1063234,1777558
1012512,1777555
1063003,1777505
1099740,1777461
1096741,1777106
1091052,1777009
1117011,1776900
1019369,1776707
1067868,1776706
1137817,1776630
971255,1776629
1003612,1776586
1127401,1776536
1112511,1776313
972734,1776295
1069326,1776284
1114266,1775546
1009624,1775536
981085,1775533
1022555,1775397
1077275,1775274
1082379,1775247
1035100,1775079
955810,1775066
1002907,1774510
968420,1774509
1091226,1774400
1015284,1774343
1064543,1774226
1122716,1774200
1054398,1773959
983110,1773812
1115007,1773637
1050000,1773631
1104565,1773536
1043354,1773494
985012,1773174
1064293,1773083
1007775,1772809
1091934,1772666
935471,1772532
940362,1772503
1070331,1772427
1003315,1772339
1070466,1772329
957961,1772246
1026691,1772186
1022704,1772182
1081012,1772116
1016089,1772112
1063059,1771585
1085278,1771253
1031544,1771211
1090043,1770776
1005851,1770699
1114498,1770596
1043601,1770152
907872,1769977
1039329,1769890
1093222,1769158
1115690,1769041
1033787,1768626
1094833,1768517
1076200,1768504
1068977,1768443
1040113,1768291
1014884,1768240
1031225,1768161
1029285,1768018
967610,1767917
1085299,1767887
980800,1767743
1057767,1767740
1036639,1767663
1112033,1767397
1011408,1767296
1104713,1767216
976102,1767076
1092061,1766769
956437,1766739
888731,1766545
1025684,1766537
947353,1766487
978017,1766471
967167,1766450
954675,1766246
953363,1766230
1026861,1766056
1004272,1765902
1039312,1765672
1046143,1765614
1092990,1765562
1045556,1765562
986995,1765460
1029545,1765184
1052994,1765172
1096384,1764907
1074183,1764853
1013491,1764839
1054432,1764812
1071550,1764722
1102515,1764635
1084528,1764494
1105607,1764474
1039889,1764406
1053066,1764285
1084984,1764164
1053474,1764156
1047924,1764042
1044620,1763970
1088861,1763661
1008224,1763599
941564,1763456
1076154,1763356
968856,1763244
1085873,1763216
1040979,1762916
972260,1762694
1080840,1762303
974233,1762236
1096027,1762227
1036038,1762200
1041704,1762143
1103516,1762075
947668,1761968
1090390,1761943
1043797,1761847
1054416,1761626
1040300,1761506
1028362,1761415
1035294,1761347
1080223,1761043
1014361,1761042
1044555,1760657
1051505,1760483
1072662,1760330
1106466,1760174
1093821,1760156
1039341,1759930
1050045,1759679
964899,1759592
1049060,1759466
1027909,1759397
975061,1759341
1060282,1759133
967902,1759085
929278,1759069
1074912,1758961
986346,1758805
1062708,1758701
974250,1758680
943435,1758670
1021552,1758495
974353,1758438
1023047,1758328
974552,1758297
1019498,1758292
1068817,1758164
1034503,1758155
940464,1758121
1032831,1758022
1043690,1758006
965938,1757982
925054,1757926
944219,1757905
1058057,1757397
